question,accepted_answer,role,experience,topic,difficulty_level,feedback_point_1,feedback_point_2,feedback_point_3,salary_range
"What is the difference between SQL and NoSQL databases?","SQL databases are relational with structured schemas and ACID properties, while NoSQL databases are non-relational, schema-flexible, and designed for horizontal scaling. SQL uses structured query language, NoSQL uses various query methods.","Software Engineer",3,"Database","Medium","Check understanding of ACID properties","Evaluate knowledge of scaling differences","Assess practical use case scenarios","80000-120000"
"Explain the concept of RESTful APIs","REST is an architectural style for web services using HTTP methods (GET, POST, PUT, DELETE) with stateless communication. It uses standard HTTP status codes and typically returns JSON data. Resources are identified by URLs.","Software Engineer",3,"API","Medium","Verify HTTP methods knowledge","Check stateless communication understanding","Evaluate REST principles comprehension","80000-120000"
"What is the time complexity of binary search?","Binary search has O(log n) time complexity because it eliminates half of the remaining elements in each iteration by comparing with the middle element of a sorted array.","Software Engineer",3,"Algorithms","Easy","Check Big O notation understanding","Verify algorithm logic comprehension","Assess prerequisite knowledge of sorted arrays","80000-120000"
"Describe the MVC architecture pattern","MVC separates application logic into Model (data), View (presentation), and Controller (business logic). This separation improves code organization, reusability, and maintainability.","Software Engineer",3,"Architecture","Medium","Evaluate separation of concerns understanding","Check knowledge of each component role","Assess benefits comprehension","80000-120000"
"What are the principles of OOP?","The four main principles are: Encapsulation (data hiding), Inheritance (code reuse), Polymorphism (multiple forms), and Abstraction (hiding complexity while showing essential features).","Software Engineer",3,"OOP","Easy","Check all four principles mentioned","Evaluate understanding of each principle","Assess practical application knowledge","80000-120000"
"Explain Docker containers and their benefits","Docker containers are lightweight, portable units that package applications with their dependencies. Benefits include consistency across environments, resource efficiency, scalability, and simplified deployment.","DevOps Engineer",3,"Containerization","Medium","Check containerization concept understanding","Evaluate benefits comprehension","Assess Docker-specific knowledge","90000-130000"
"What is Infrastructure as Code (IaC)?","IaC is the practice of managing infrastructure through code rather than manual processes. Tools like Terraform and CloudFormation allow version control, automation, and reproducible infrastructure deployments.","DevOps Engineer",3,"Infrastructure","Medium","Verify IaC concept understanding","Check tool knowledge (Terraform, etc.)","Evaluate automation benefits comprehension","90000-130000"
"Describe CI/CD pipeline components","CI/CD includes Continuous Integration (automated testing and building) and Continuous Deployment (automated deployment). Key components: source control, build automation, testing, deployment automation, and monitoring.","DevOps Engineer",3,"CI/CD","Medium","Check CI vs CD understanding","Evaluate pipeline components knowledge","Assess automation benefits comprehension","90000-130000"
"What is Kubernetes and its main components?","Kubernetes is a container orchestration platform. Main components include Pods (smallest deployable units), Services (networking), Deployments (managing replicas), and Nodes (worker machines).","DevOps Engineer",3,"Orchestration","Hard","Check orchestration concept understanding","Evaluate Kubernetes components knowledge","Assess container management comprehension","90000-130000"
"Explain monitoring and logging in DevOps","Monitoring tracks system performance and health metrics, while logging records events and errors. Tools like Prometheus, Grafana, ELK stack help in observability, alerting, and troubleshooting.","DevOps Engineer",3,"Monitoring","Medium","Check monitoring vs logging distinction","Evaluate tools knowledge","Assess observability importance understanding","90000-130000"
