Company Name,Role,Experience,technical_topics,coding_topics,salary_range
Google,Software Engineer,3,"JavaScript,Python,System Design,Databases","Arrays,Strings,Dynamic Programming,Trees","80000-120000"
Microsoft,Software Engineer,3,"C#,Azure,Microservices,APIs","Algorithms,Data Structures,Graphs,Sorting","80000-120000"
Amazon,Software Engineer,3,"AWS,Java,Distributed Systems,Scalability","Hash Tables,Binary Search,Recursion,Heaps","80000-120000"
Meta,Software Engineer,3,"React,Node.js,GraphQL,Performance","Linked Lists,Stacks,Queues,Bit Manipulation","80000-120000"
Apple,Software Engineer,3,"Swift,iOS,Objective-C,Mobile","Tree Traversal,String Manipulation,Math Problems,Greedy","80000-120000"
Google,DevOps Engineer,3,"GCP,Kubernetes,Docker,Terraform","Infrastructure Automation,Monitoring,CI/CD,Scripting","90000-130000"
Microsoft,DevOps Engineer,3,"Azure,PowerShell,ARM Templates,DevOps","Cloud Architecture,Automation,Security,Networking","90000-130000"
Amazon,DevOps Engineer,3,"AWS,CloudFormation,Lambda,ECS","Serverless,Containers,Monitoring,Scaling","90000-130000"
Netflix,DevOps Engineer,3,"Microservices,Spinnaker,Chaos Engineering,Observability","Distributed Systems,Reliability,Performance,Automation","90000-130000"
Uber,DevOps Engineer,3,"Kubernetes,Prometheus,Grafana,Jenkins","Site Reliability,Incident Response,Capacity Planning,Tooling","90000-130000"
Google,Mobile Developer,3,"Android,Kotlin,Firebase,Material Design","Mobile Algorithms,UI Optimization,Data Structures,Performance","85000-125000"
Apple,Mobile Developer,3,"iOS,Swift,Core Data,SwiftUI","iOS Development,Memory Management,Concurrency,Frameworks","85000-125000"
Meta,Mobile Developer,3,"React Native,JavaScript,GraphQL,Mobile APIs","Cross-platform,State Management,Navigation,Testing","85000-125000"
Spotify,Mobile Developer,3,"Android,iOS,Audio Processing,Offline Sync","Media Handling,Caching,Background Processing,Networking","85000-125000"
Airbnb,Mobile Developer,3,"React Native,Native Modules,Performance,Analytics","Hybrid Development,Bridge Communication,Platform APIs,Optimization","85000-125000"
